,statement,condition
3372," In the US, offenders getting sentences cut in half if they get the COVID-19 vaccine under shock new policy.",FALSE
3373, Indian actor Vivek died due to Sinopharm’s vaccine.,MISLEADING
3374, WHO officially acknowledged its mistake when it said the virus is not dangerous in the open and does not spread on the streets.,FALSE
3375, A death of a 29-year-old Georgian woman in Iraq was caused by the Pfizer vaccine.,FALSE
3376, A list of tips for how people should prepare to receive a Covid-19 vaccine.,MISLEADING
3377, An Australian biotech firm has “developed a new treatment it hopes will prevent people dying from the Covid-19 vaccine.”,MISSING CONTEXT
3378," Video shows a doctor demonstrating how to perform prone positioning for a Covid patient. Circulated along with the video, a claim suggests people do as many aprons as possible at home.",PARTLY FALSE
3379, The first man vaccinated against COVID-19 has died.,MISLEADING
3380, Body parts of newly-aborted fetuses are chopped up and grown in laboratories to make COVID-19 vaccines.,FALSE
3381, Constant sex kills coronavirus.,FALSE
3382," In 2015, the Landless Workers Movement in Brazil destroyed one vaccine laboratory.",FALSE
3383," In the United States, after vaccination with mRNA vaccines against COVID-19, there were cases of myocarditis among adolescents.",MISLEADING
3384," Italy is giving hydroxychloroquine for free to COVID-19 patients, in May 2021.",FALSE
3385, The number of deaths in May 2021 remained stable when compared to May 2019.,FALSE
3386, New cases in Seychelles prove vaccines are ineffective.,FALSE
3387, The first COVID-19-vaccinated man in the world died.,MISLEADING
3388, “there is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.” The scientific genius backed claims of other pre-eminent virologists after studying the constituents of the vaccine. “They will all die from antibody-dependent enhancement. Nothing more can be said.,MISLEADING
3389, The U.K. government declared the increase in side effects from the COVID-19 vaccines.,MISLEADING
3390, The Covid-19 can cause erectile dysfunction in men by six times.,MISLEADING
3391, The COVID-19 vaccines cause ADE syndrome which leads to more severe outcomes of the disease if the vaccinated get infected. It also leads to the emergence of new variants of SARS-CoV-2.,FALSE
3392, The COVID-19 vaccination might shorten our lifespan.,FALSE
3393," Pfizer announces updated COVID-19 vaccine, now includes Microsoft chip to reduce symptoms.",FALSE
3394, Hydroxychloroquine is effective against SARS-CoV-2.,FALSE
3395, Moderna Covid-19 vaccine contains a cancer-causing ingredient that is not fit for human use.,FALSE
3396, A rehabilitation clinic in Taichung has been levied as a mobile hospital.,FALSE
3397, A school and a hotel have been levied as quarantine facilities. Do avoid those areas to protect yourself from droplet infection.,PARTLY FALSE
3398, CNN reported that 10% of covid cases in the USA contrasted the virus by touching contaminated fridge handles.,PARTLY FALSE
3399," A Russian hacker on Dark Net found a database that displays information about vaccinated people (such as their vital signs, their exact GPS coordinates, whether they are asleep or awake), which are presented in real-time. Everyone who has received the vaccine is now being monitored in real-time by this 5G artificial intelligence system. They became transmitters, transmitting all information about themselves back to the mother or the recipient of the AI. Also displayed is the correct firmware information, the CPU information located on the person.",FALSE
3400, Photo of a crowded coach in London during a pandemic.,FALSE
3401, Thousands of Hindu idols were discarded by Indians for failing to protect them against COVID-19.,FALSE
3402," For 12-15-year-olds, no vaccination against COVID-19 is better than vaccination. These are the results based on the Pfizer-BioNTech vaccine study.",FALSE
3403," In Sweden, vaccinated people are totally in bad health.",MISLEADING
3404, Nobel laureate Luc Montagnier stated that all vaccinated would die within two years.,FALSE
3405," According to the pharmacovigilance agency EudraVigilance, there have been 12,184 deaths and more than 1 million reported cases of side effects due to COVID-19 vaccines in the European Union until March 22, 2021.",FALSE
3406, Singapore University’s claim that India will be COVID-free by June 18.,FALSE
3407, Viral poster of corona vaccine appointment through telegram app.,FALSE
3408, Nobel laureate’s claim that vaccinated people will die within 2 years.,MISLEADING
3409," In the state of Texas, Governor Greg Abbott has banned the use of masks. Those who do not obey the ban will pay a $ 1,000 penalty.",FALSE
3410," 7,766 deaths and more than 330,000 “adverse reactions” have been reported due to COVID-19 vaccines in Europe.",FALSE
3411, Luc Montagnier says that variants of the coronavirus have been created by vaccines COVID-19.,FALSE
3412, Vaccines create new variants of SARS-CoV-2.,MISLEADING
3413, Red Cross interdicted vaccinated people from donating blood.,FALSE
3414," COVID-19 vaccines caused as many deaths as the disease in young people, vaers records COVID-19 deaths.",NO EVIDENCE
3415," A video showing a row of people on the ground, wrapped in white shrouds proves that COVID-19 deaths are staged.",MISLEADING
3416, Sweden stopped using PCR tests for diagnosing COVID-19 because tests cannot distinguish between live and dead viruses and provide misleading results.,FALSE
3417," A child’s metabolism requires twice as much oxygen as that of an adult, so prolonged use of masks generates effects such as less oxygen intake or cancer.",FALSE
3418, Facebook post repeats Covid-19 vaccine myths.,FALSE
3419, Inhaling salt water droplets produced by a humidifier can cure Covid-19.,FALSE
3420, A steam inhalation device could help prevent or cure Covid-19 infection.,FALSE
3421, South Korean President Moon Jae-in demanded the US provide Covid-19 vaccines for North Korea.,FALSE
3422," Don’t leave home as the chemical troops are in Changhua, conducting a sanitization with irritant disinfectant.",PARTLY FALSE
3423," Covid vaccinated. Magnetic microchips. Covid is a scam, a plan to depopulate humanity. Reject vaccines.",FALSE
3424, A publication questions the nasopharyngeal swab sample versus saliva swab.,MISLEADING
3425, British science board admitted that the administration is pursuing a policy of fear over the pandemic.,FALSE
3426," Vaccine against COVID-19 killed more than 10,000 Europeans in 4 months.",FALSE
3427, The COVID-19 vaccine manufacturers can own your genes.,FALSE
3428," In the United States, a 15-year-old child died after being vaccinated with Pfizer.",FALSE
3429, The data from the vaccinations in England suggest deaths and side effects from the vaccines are a serious cause for concern.,MISLEADING
3430, Dr. Palevsky says that vaccines against the COVID-19 are dangerous and untested.,FALSE
3431," “Models that say that 2.2 million people will die are false, intentionally false”; the PCR tests are falsely calibrated, “the treatments that are 100% effective are being banned for false reasons.”",NO EVIDENCE
3432," A clip from a speech by Bill Gates proves that he planned to reduce the world population through mass vaccination, like the one for the COVID-19, from 2011.",FALSE
3433, mRNA vaccines are “gene therapy” and recipients are “guinea pigs.”,FALSE
3434, The Indian government announced that an “Indian Corona-mutation” does not exist.,MISSING CONTEXT
3435, The picture suggests that the Corona pandemic is staged because banana crates are buried during a funeral.,MISSING CONTEXT
3436, All schools are to close from May 19 to June 18.,FALSE
3437," People who take the Pfizer vaccine can transmit COVID-19 by touch, according to the clinical trial’s report.",FALSE
3438, People receiving calls about vaccine feedback are being hacked.,FALSE
3439," Vaccinated people cannot donate blood, because the vaccine completely destroys their natural antibodies.",FALSE
3440," The Supreme Court of Canada accepted the crimes against humanity case brought by Dr. Reiner Fuellmich, Robert F. Kennedy Jr. and Dolores Cahill for actions taken during the pandemic.",FALSE
3441," Brazilian President Jair Bolsonaro said that “social isolation must end, life must return to normal and die who has to die.”",FALSE
3442, Videos show that vaccines against Covid-19 make skin magnetic.,FALSE
3443, Sweden has stopped doing PCR test.,FALSE
3444," The U.S. CDC is “lowering their CT value when testing samples from suspected ‘breakthrough infections’” to “decrease the number of ‘breakthrough infections’ being officially recorded”, which will “make it seem the experimental gene-therapy ‘vaccines’ are effective at preventing the alleged disease.”",FALSE
3445, A small number of coronavirus deaths in Taiwan is because the country does not obey the WHO protocols.,MISLEADING
3446, A tornado in the Chinese city of Wuhan destroyed the laboratory in which the coronavirus was created.,MISLEADING
3447, Pharmaceutical companies “skipped” animal trials while developing Covid-19 vaccines because the subjects kept dying.,FALSE
3448, Video shows medical oxygen being deliberately wasted in India despite a deadly second wave of Covid-19 infections.,
3449, Video shows medical oxygen being deliberately wasted in India despite a deadly second wave of Covid-19 infections.,FALSE
3450, A photo of corpses floating in a river shows Covid-19 fatalities in the east Indian state of Bihar.,FALSE
3451," If you are identified as potential contact of a covid patient, you are required to stay in a quarantine hotel for 14 days and pay for all the cost.",PARTLY FALSE
3452," The man washes the corpses of aborted fetuses used to make MRC-5, a component of vaccines.",MISLEADING
3453, COVID-19 vaccines contain enough metal to cause magnetization.,FALSE
3454," A mixture of oil, salt, turmeric, and alum is effective in fighting black fungus.",FALSE
3455, Israel lifts quarantine restrictions and COVID-passports due to low levels of vaccination.,FALSE
3456, Japan Red Cross prohibits people vaccinated against the COVID from donating blood.,FALSE
3457, Hungary abolishes the wearing of masks due to their ineffectiveness.,FALSE
3458, mRNA COVID-19 vaccines reduce life expectancy or cause infertility.,FALSE
3459, Wearing a protection mask is punishable in Texas.,FALSE
3460," Posts purported to be words from Dr. Yuarn-Jang Lee of Taipei Medical University Hospital, explaining the backlog of COVID-19 cases. There were two other very similar versions with differences of doctors’ names.",FALSE
3461, An audio message circulating online purported to be a recording by Legislator Tsai Pi-Ru recommends people to drink water and take a hot bath to kill coronavirus.,FALSE
3462," A video circulating on Line shows a water-carrying medical mask started leaking after it was sprayed with ethanol, claiming that sanitizer damages face masks.",Explanatory
3463, Centers for Disease Control and Prevention changed testing thresholds to “virtually eliminate” COVID-19 cases among vaccinated individuals.,FALSE
3464," COVID-19 is just like flu, therefore there is no need to vaccinate.",FALSE
3465," Video purported to show that a woman blew out a candle with a “rejected mask” on, but not with a qualified mask, suggesting a method to determine the mask quality.",FALSE
3466, Centers for Disease Control and Prevention changed testing thresholds to “virtually eliminate” COVID-19 cases among vaccinated individuals.,FALSE
3467, COVID-19 vaccines “could cause mass male infertility.”,FALSE
3468, Says Anthony Fauci’s wife has “a secret plan to put psych drugs in drinking water” to get people vaccinated.,FALSE
3469, COVID-19 vaccines “could cause mass male infertility.”,FALSE
3470," Dr. Pierre Gilbert, speaking to a French freemasons crowd predicted the COVID-19 pandemic, the forced vaccinations, and the liquid crystals technology in vaccines that would be used to control humanity as it happened in Rwanda.",FALSE
3471," According to the current contact tracing system, if you are in the supermarket at the same time a COVID positive case is, you will be put in quarantine for seven days as you are considered a close contact person.",PARTLY FALSE
3472," The CanSino vaccine requires greater precautions, including not consuming some foods and resting for 3 days.",FALSE
3473, Pfizer’s Covid-19 vaccine contains a chip that attaches a magnet to the injected arm.,FALSE
3474, Luc Montagnier said that people vaccinated with the COVID-19 vaccine would die within two years.,FALSE
3475, Vaccines cause 3500 deaths on COVID-19 in Poland.,FALSE
3476, The governor of Texas has issued an order banning the wearing of masks.,MISLEADING
3477," A discussion paper by the German health ministry proves that it is planning to punish parents, who are refusing to have their children vaccinated – through measures such as fines, detention, child seizure or compulsory vaccination of the child.",FALSE
3478, German foreign minister Heiko Maas demands that grocery shopping becomes conditional upon showing a valid vaccination pass.,FALSE
3479," The Red Cross in the US has banned blood donations of people who are vaccinated against Covid-19, since the vaccination destroys the natural antibodies",FALSE
3480, The virologist Luc Montagnier said that all vaccinated individuals would die within two years.,PARTLY FALSE
3481," Israel drops MOMO, the international excess mortality registry website, after 8 weeks of worse results than 2020 despite vaccination, proof that mortality rises with the vaccine.",FALSE
3482, American Red Cross doesn’t accept the blood donation from a vaccine recipient as the vaccine wipes out the body’s natural antibodies.,FALSE
3483, Former Brazilian Health Minister Eduardo Pazuello said he didn’t go in uniform to the Parliamentary Committee of Inquiry to avoid “gazelle fetish.”,FALSE
3484, It is false that doctors and nurses can be accused of “war crimes” for applying the vaccine.,FALSE
3485," Vaccination rates are 9% in Germany, 10% in Italy and Spain, 9% in France, 21% in England, 100% in Seychelles, 3% in Canada, and 30% in Turkey.",FALSE
3486, Pfizer has announced ‘an update’ to the COVID-19 vaccine ‘with the Microsoft chip.’,FALSE
3487, CDC director admits CDC’s overall total for deaths from COVID-19 is inflated.,FALSE
3488, The US federal court ordered Facebook and YouTube not to block information about COVID-19 vaccines.,FALSE
3489, Vaccination is dangerous for asymptomatic COVID-19 patients.,FALSE
3490, Putting lemon drops up your nose will kill the coronavirus.,FALSE
3491, Gargling a mixture of hot water and potassium alum “can save” people from Covid-19.,FALSE
3492," Indonesia was saved from the pandemic with this vaccine, the data so far say that it is 98% effective against death and 96% effective against hospitalization!",FALSE
3493, The devices try to connect to the human chip via Bluetooth after vaccination.,FALSE
3494, Duque boasts in an interview about unemployment with vaccination figures out of context.,MISLEADING
3495, COVID-19 vaccination is especially dangerous during puberty.,FALSE
3496," Do not consume any starch three days before getting the vaccine to prevent inflammation. Instead, take vitamin C every three hours.",FALSE
3497, The COVID-19 vaccine effectiveness rate is 1%.,MISLEADING
3498," By June 18, India will be completely free from Coronavirus.",FALSE
3499," From the late summer of 2021 onwards, Covid-19 vaccination will become compulsory at schools in Austria.",FALSE
3500, Pfizer announced that its vaccine update includes a Microsoft chip.,MISLEADING
3501, The COVID-19 vaccines are experimental and their manufacturers skipped animal testing because they were lethal to them.,FALSE
3502, COVID-19 can be prevented by having a high immune system and with ozone and chlorine dioxide therapy.,FALSE
3503, Take three tablespoons of activated charcoal daily to minimize the alleged negative effects of COVID-19 vaccines.,FALSE
3504, It is false that PCR tests contain a “carcinogen” in the swabs.,FALSE
3505, Wulai will implement road closure from May 19 (to respond to COVID alert). All tourists are not allowed to enter tribes in Wulai.,FALSE
3506, There is a direct relationship between vaccination and autism.,FALSE
3507, Mexico City published a study showing ivermectin is effective against COVID-19.,MISLEADING
3508," An investigation has been launched against Anthony Fauci over the arrangement of the genocide, and hearings on RNA vaccines were held in the US Senate.",FALSE
3509," Covid-19 is not a severe disease; vaccines linked to deaths, etc.",MISSING CONTEXT
3510," A member of the Ontario provincial parliament claims to offer major pandemic-related findings, including Covid-19 vaccines causing harm and lockdowns being useless.",MISLEADING
3511," Ivermectin, an antiparasitic drug, can be used as a substitute for Covid-19 vaccination.",MISLEADING
3512, An image purporting to compare the lungs of a person vaccinated against Covid-19 with someone who has not received the jab.,FALSE
3513, Consuming raw onion with salt can cure the disease within minutes.,FALSE
3514," A message along with a photo claimed that there are covid vaccines available for dogs and cats in the USA, contrasting with the vaccine shortage in Taiwan.",FALSE
3515, Covid-19 is just a trick of the Jews to regulate the worship of Muslims.,FALSE
3516," Instead of voluntary vaccination, a large number of employees are pressured by many employers of various companies and firms to get vaccinated. The madness of fascism is to the extent that it blackmails the people through employers into being forcibly vaccinated. The people must be aware and this fascism, which forcibly, instead of voluntarily, forces us to wear masks and be vaccinated. This must be prevented.",FALSE
3517, Healthy asymptomatic coronavirus carriers will be treated in Spain.,MISLEADING
3518, Preclinical trials of vaccines have been discontinued due to animals’ deaths.,FALSE
3519, «Concentration camps» for COVID-19 patients are being created in New York City.,FALSE
3520, Magnet attracted to the point of introduction of the vaccine against COVID-19.,FALSE
3521," Mike Tyson called the pandemic “Plandemia,” and express his opposition against vaccination.",FALSE
3522," People with the COVID-19 vaccine are being “tracked in real time via 5G cellular, and all that data can be hacked into to track you.”",FALSE
3523, Indians have thrown idols of Gods they worship on the streets since they’ve lost faith.,MISLEADING
3524, Medical concerns make a medical propaganda to sell dangerous vaccines.,FALSE
3525, Anyone who was vaccinated for the COVID-19 became human magnets attracting metal objects to their skin.,FALSE
3526, SM-102 is a substance in the Moderna vaccine that contains chloroform and is toxic to humans.,FALSE
3527, Elderlies who mainly spend their time at home do not need to receive the COVID-19 vaccine.,FALSE
3528, India’s increase in infections is linked to vaccines.,FALSE
3529, U.S. intelligence documents show China was testing coronavirus as a biological weapon in 2015.,FALSE
3530," No, this video does not show Indian villagers stoning vaccination teams",FALSE
3531, South Korea had offloaded its supply of 400 thousand doses of AstraZeneca vaccine on Taiwan believing it to be inferior. Taiwan’s deal with Korea is a disgrace.,FALSE
3532, Beneficiaries of a person who dies after getting the vaccine cannot collect life insurance payments.,FALSE
3533, Video claims that China sent a chartered flight to evacuate citizens back from India.,FALSE
3534, A video showing how a hospital employee beats a patient is proof of a fake pandemic.,MISLEADING
3535, COVID-19 pandemic was created by the global elites to reduce world population and to establish New World Order proves the quote taken from the book Verbatim by Jacques Attali.,FALSE
3536, “Peer reviewed clinical studies” have not been done for COVID-19 vaccines.,FALSE
3537," Fauci admits to wearing a mask indoors because of appearances, not science.",MISLEADING
3538, The magnet is attached to the arm of people vaccinated against Covid-19.,FALSE
3539, Bolivian doctors have threatened to go on strike and destroy covid-19 vaccines if the country’s health ministry does not agree to meet with them.,FALSE
3540, Health personnel who vaccinate against Covid-19 may be tried for war crimes.,FALSE
3541, US Centers for Disease Control and Prevention (CDC) data shows that Covid-19 shots have killed more people than all the other vaccines in the last 20 years combined.,FALSE
3542," The World Health Organization (WHO) has warned of 50,000 daily deaths in India as it battles a surge in Covid-19 cases.",FALSE
3543, Israeli Prime Minister Benjamin Netanyahu purportedly threatening to kill Muslims with vaccines.,FALSE
3544, Malaysians queue to stay at Shah Alam Stadium because they are positive for Covid-19.,MISLEADING
3545, “Peer reviewed clinical studies” have not been done for COVID-19 vaccines.,FALSE
3546, The U.S. Red Cross does not allow vaccinated people to be blood donors.,MISLEADING
3547, Beneficiaries of a person who dies after getting the vaccine cannot collect life insurance payments.,FALSE
3548, Two infants died from experimental vaccines against COVID-19 during clinical test work.,FALSE
3549," “Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.”",FALSE
3550," The United States officially rises to 5,000 vaccine deaths and 14,000 in Europe.",FALSE
3551, Indigenous medication has been discovered in a southern village as a ‘cure’ for Covid-19 induced pneumonia.,FALSE
3552, Doubts over-vaccination of pregnant women and children against COVID-19.,MISSING CONTEXT
3553," From tomorrow, people are required to use registered easy cards to take MRT.",PARTLY FALSE
3554, CDC director finally admits that COVID cases are hugely over-counted.,FALSE
3555, “Coronavirus cases are plummeting in India thanks to new rules that promote Ivermectin and hydroxychloroquine”,NO EVIDENCE
3556, Thai citizens can get inoculated against Covid-19 with their vaccine of choice when they visit as tourists in neighboring Laos.,FALSE
3557, Folds of a medical mask facing upwards would collect dusts and bacteria.,FALSE
3558," Eating or drinking leek water, pineapple, onion, or smelling onion can kill coronavirus.",FALSE
3559, They put a chip in you! Do not get vaccinated. In a year the drones will come and then you will understand why they are placing chips in you.,FALSE
3560, Mike Tyson was seen wearing an antivaccination t-shirt.,FALSE
3561, Gadgets react to the COVID-19 vaccination spot.,FALSE
3562, Vaccinated people «secrete» spike proteins of coronavirus and infect surrounding people.,FALSE
3563, Pandemic is a lie and masks is not protect against infection and they are toxic.,PARTLY FALSE
3564, Data from the WHO shows that the number of side effects and deaths due to Covid-19 vaccinations increased between March and May.,MISSING CONTEXT
3565, Facebook posts showing magnets sticking on the arms and claiming that vaccines contain magnetic microchips that cause the effect.,FALSE
3566, Covid-19 is “merely a common cold that we see every year.”,FALSE
3567," Pfizer vaccines can cause birth defects, according to the company itself.",FALSE
3568, The traditional Chinese medicine NRICM101 help to cure COVID-19. It can still protect and maintain your health even if you are not infected with COVID-19.,PARTLY FALSE
3569, Three Thai immigrant workers who tested Covid positive liked drinking ice water very much. Drinking ice water and eating ice hurt your bronchial tube and make you more vulnerable to Covid.,FALSE
3570, A video claims that an Indian shaman can treat covid-19 by letting the patient touch a bell fastened at his genital.,FALSE
3571," A video claims that Japanese medical staff drinks water every 15 minutes to keep the throat wet, so the gastric acid can kill COVD-19.",FALSE
3572," From December 2020 to February 2021, 13.9% of pregnant women suffered miscarriages after getting vaccinated which questions the recommendation on getting COVID-19 vaccine during pregnancy.",MISLEADING
3573, Photo of a traffic jam outside Madrid the weekend after the state of alarm for the COVID-19 pandemic ended.,FALSE
3574, COVID-19 vaccines skipped animal testing; COVID-19 vaccines weren’t tested in humans before being released to the public; COVID-19 vaccines are unsafe.,FALSE
3575, COVID-19 vaccines contain metals or microchips that cause magnets to attach to the arm of vaccinated people.,FALSE
3576," A true healing medicine must not cause any death. None. It must not cause any negative consequences. None. The media and other factors that consciously and tendentiously lie and define vaccination deaths as “coronavirus complications” and the like, in order to spread fear and thus make citizens vaccinated – I consider them a deadly weapon of criminals. They themselves are criminals.",FALSE
3577, Flies are able to distribute COVID-19.,FALSE
3578," Vaccines cause diabetes. – J. Bart Classen, American immunologist.",FALSE
3579," Recommendation of consuming fish oil, paracetamol, banana, etc. before getting the COVID-19 vaccination.",MISLEADING
3580, Vaccines against the COVID-19 cause infections and many deaths on the COVID-19 in Poland.,FALSE
3581," Nick Janakis, professor of pulmonology at the University of Crete stated that the odds of developing thrombosis from the AstraZeneca vaccine are not small.",FALSE
3582," In Portugal, police officers joined a rally with citizens protesting against health measures for the COVID-19.",FALSE
3583, Vaccines for COVID-19 are experimental and use cells from aborted fetuses. People who choose to get vaccinated are not informed as to what the vaccine contains and its possible side effects.,FALSE
3584, Smashed shallots can prevent and cure COVID-19.,FALSE
3585," Covid-19 can be transmitted between animals and humans. When you walk your puppy, it could bring COVID-19 home.",Explanatory
3586, A video says that Indian people cure Covid-19 with sacred cows.,FALSE
3587, Messages from Singapore said that the Covid-19 vaccine and steroid can not protect you from covid variants.,PARTLY FALSE
3588, Madonna warned people about the Israel-Palestine conflict and pandemic during her performance on Eurovision.,FALSE
3589," Mayor of Athens, Konstantinos Bakogiannis staged his vaccination while in reality, the needle of the syringe that was used on him had a protective cap on.",FALSE
3590," According to official EU data, until 19th of May 2021 there have been 10,570 deaths and 405,259 cases of side effects from the COVID-19 vaccines.",FALSE
3591, A viral video depicts protests in Spain due to the public health measures for the COVID-19 pandemic.,FALSE
3592, We can check if someone is vaccinated or not through a special camera that tracks metallic nanoparticles and luciferase in the COVID-19 vaccines. This is how the authorities will be able to check if someone has a fake vaccination certificate.,FALSE
3593, COVID-19 vaccines contain a magneto protein that can control the human brain.,FALSE
3594, The Coronavirus is the flu and the flu has almost disappeared.,PARTLY FALSE
3595, Vaccines contain heavy metals that cause magnets to stick to the arm.,FALSE
3596," Half of CDC, NIH, and FDA employees refused the experimental COVID-19 jabs.",MISLEADING
3597, The COVID-19 outbreak in India is a “complete fraud.”,FALSE
3598, Dr. Tsung-Jung Ho’s recipe of anti-COVID tea.,PARTLY FALSE
3599, Having cold drinks or ice would inactivate your immune system for four hours. But animal protein helps to increase your immune protein.,PARTLY FALSE
3600," Vaccines from COVID-19 are effective at a 0,84-1,3 percent rate.",MISLEADING
3601, It’s dangerous to vaccinate children for COVID-19,FALSE
3602, The medicine Serhat Gümrükçü found destroys COVID-19 in three days.,FALSE
3603, Smoking can prevent COVID-19.,FALSE
3604, Gargling povidone-iodine can help to prevent COVID-19.,NO EVIDENCE
3605, Moderna’s COVID-19 vaccine contains luciferin.,FALSE
3606, Doctor of medical sciences Alexander Redko (St.Petersburg) claims that in the result of vaccination people become infected and the ilness is more severe; vaccines are experimental and have not been tested.,FALSE
3607," Chemical troops are sent to Taipei, New Taipei city to conduct a thorough disinfection this Friday and Saturday. Please close your doors and windows tonight as highly toxic disinfectant is being used.",FALSE
3608, A video presenting how to fold masks purported to be the official advice from Taiwan union of nurses association.,PARTLY FALSE
3609," Starting from May 17, Kaohsiung, Tainan, Taoyuan and Taichung will fine motorbike driver who don’t have a mask on NTD 3000- 15000.",FALSE
3610, Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,FALSE
3611, Swiss death toll rose after country stopped using hydroxychloroquine to treat patients with COVID-19.,FALSE
3612, TV channel from Australia says that SARS-CoV-2 is a biological weapon.,MISLEADING
3613," In developing COVID-19 vaccines, animal tests were “stopped” because the “animals were dying” and “they didn’t do the human testing.”",FALSE
3614," Stanford study says facemasks are ineffective, have devastating health consequences.",FALSE
3615, Covid-19 vaccines will leave people exposed to deadly illness during the next cold and flu season.,FALSE
3616, Pope Francis asked everyone to say a prayer about being “vaccinated by the precious blood of Jesus Christ.”,FALSE
3617, Ventilation equipment is artificial death,FALSE
3618, China ditched Covid-19 jabs in favour of ‘inhaled vaccines.’,FALSE
3619, Video of a busy market during the pandemic in India.,FALSE
3620," SM-102, an ingredient in the COVID-19 vaccine from Moderna, is not meant for “human or veterinary use.”",FALSE
3621," An audio message purported to be from the former head of Health Promotion Administration, Chiou Shu-ti, sharing tips such as testing lung function by holding breath, and keeping throat wet to kill COVID-19.",FALSE
3622," 1. Coronavirus pandemic is actually a conspiracy to subjugate people, whereas the reports on the death rate of the coronavirus are fake and exaggerated; 2. Introducing quarantine measures and vaccination programs actually aim to make people accustomed to dictatorship in the future; 3. Videos show concentration camps of people who are afraid of the virus in Russia and Hungary. By 2023-2024, coronavirus patients and vaccinated people will be moved to these concentration camps; 4. Several country leaders refused to take part in the “satanic” pandemic, like Brazil, Sweden, and Turkmenistan. The President of Brazil refused the coronavirus vaccines, while Sweden and Turkmenistan did not introduce any restrictions, so life goes on there as usual.",FALSE
3623," Vaccination aims at chipping people, while injection spots on the arms have magnetic reactions.",MISLEADING
3624," In developing COVID-19 vaccines, animal tests were “stopped” because the “animals were dying” and “they didn’t do the human testing.”",FALSE
3625," – depopulation (euthanasia), – sterilization, and – creating lifelong patients/clients in the pharmaceutical industry.",FALSE
3626," Vaccinated people are now being tested for up to 28 cycles of the PCR test, which almost guarantees a “negative” PCR test result in order to convince them all and vaccinate them into enslaved controlled GMO creatures where someone else has ownership of your genetic code. According to the author of the PCR test, Nobel laureate Kari Mulis (video below), it is not a test for Covid but a generic test for general respiratory problems, which can be adjusted by determining the various numbers of the test cycle. Thus, when the herd had to be locked in the stables with fear and diapers put on its mouth, the tests were cycled 48 times, which carries a 96.5% probability of a false positive test.",FALSE
3627, 11 May 2021 After Covid-19 vaccination. Watch this child. Covid fraud.,FALSE
3628," India, a plague of birds. The Humtrails, on the orders of the UN, continue with their Agenda, poisoning every creature of God on this Planet",FALSE
3629," SM-102, an ingredient in the COVID-19 vaccine from Moderna, is not meant for “human or veterinary use.”",FALSE
3630, Thousands of Swedes became infected after being vaccinated against COVID-19.,MISLEADING
3631, There is a caution saying that the COVID-19 virus comes with rain.,MISLEADING
3632, The bill proposes to hold Ukrainians criminally liable for violating quarantine norms.,MISLEADING
3633, The COVID-19 vaccination can cause the temporary blindness.,MISLEADING
3634, A video spreading online purported to be a disastrous scene of covid-19 victims at a Indian crematory.,FALSE
3635, Transmission of COVID-19 by asymptomatic individuals “has never been proven.”,FALSE
3636," RNA injections could permanently modify our DNA, confirmed.",FALSE
3637, Japan has banned to donate blood to those who were vaccinated against COVID-19,FALSE
3638," João Doria, governor of São Paulo, was vaccinated with the Pfizer vaccine.",FALSE
3639, Covid-19 vaccines contain magnetic microchips.,FALSE
3640," Chinese-manufactured blue masks “widely used” in Uganda contain graphene, a material that could be harmful to the lungs when inhaled.",MISLEADING
3641, A study of spike proteins is evidence that some Covid-19 vaccines could be harmful.,MISLEADING
3642," Supreme Court of Canada agreed to hear a case accusing Prime Minister Justin Trudeau, Ontario Premier Doug Ford and other civic officials of “crimes against humanity” for implementing public health measures against Covid-19.",FALSE
3643, Centre has approved Covaxin for children above 12 years.,FALSE
3644," Offices, gyms, shops, business services, and schools are being closed for vaccinated people in the United States.",MISLEADING
3645, Drinking the traditional Chinese medicine NRICM101 everyday can cure COVID-19 or prevent from getting COVID-19.,FALSE
3646," 102 people who received two doses of Pfizer COVID-19 vaccine tested positive two weeks after getting vaccinated in Washington, 10 people are in critical condition and 2 persons died.",MISLEADING
3647, A video showed bodies floating in river along with a claim “Don’t eat seafood! The ocean has been highly polluted.”,Explanatory
3648, The National Health Security Office (NHSO) offered insurance for allergic reactions from the COVID-19 vaccination.,MISSING CONTEXT
3649, How to handle the deceased body of COVID-19.,FALSE
3650," A pulmonologist, Dr. Vasilakopoulos, stated that anyone who does get vaccinated should pay big fines.",FALSE
3651, Asymptomatic people would not be contagious.,FALSE
3652," According to the World Health Organization who states it explicitly, the COVID-19 vaccines are experimental.",FALSE
3653, The British government recognizes in a document that the “resurgence of both hospitalizations and deaths” is “dominated” by people vaccinated against COVID-19,FALSE
3654, A study has shown that COVID-19 is a vascular disease “and not respiratory as previously thought”.,FALSE
3655, The masks are “doused with carcinogenic chemicals” and you breathe in your lung waste.,FALSE
3656," María José Martínez Albarracín, from the denial group ‘Doctors for the truth Spain’, says that the vaccines against COVID-19 “are going to produce an epidemic”.",FALSE
3657, Magnet video proves COVID-19 vaccines contain microchips.,FALSE
3658, Coronavac vaccine was interdict in Europe and US.,FALSE
3659," This picture is of gas leak victims, not COVID in India.",FALSE
3660, Charles Michel announced an agreement to suspend vaccine patents.,FALSE
