,statement,source,t/f status
1685,"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”",The Gateway Pundit,false
1686,"""Half a million sharks could be killed to make the COVID-19 vaccine.""",Facebook posts,false
1687,Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.,Facebook posts,false
1688,Pfizer made $37 billion in profit in its last quarter.,Facebook posts,false
1689,"“In Wisconsin, we have 50% of the population paying 50%, 60%, 70%, sometimes 80% for their housing.”",Joe Volk,false
1690,"When children are given vaccines for COVID-19, “a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.""",TikTok posts,false
1691,Photo shows former French education minister Najat Vallaud-Belkacem herding sheep as a child in Morocco.,Viral image,false
1692,An email shows that employers are requiring employees to wear masks during Zoom meetings.,Viral image,false
1693,"Tylenol ""ruins your ability to kill” COVID-19.",Instagram posts,false
1694,"“Chief Justice John Roberts goes after the highest court in the land, citing their ‘inappropriate political influence.’”",Bloggers,false
1695,“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,Bloggers,false
1696,President Joe Biden “never had a” COVID-19 “plan.”,Save America PAC,false
1697,“It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.,Facebook posts,barely-true
1698,President Joe Biden “has the lowest approval rating of any president ever.”,Facebook posts,false
1699,"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",Instagram posts,false
1700,“Jan. 6 was NOT an insurrection…but Nov. 4 at 3 a.m. was!”,Facebook posts,pants-fire
1701,A judge sealed “all the evidence and proof of who helped Ghislaine Maxwell sex traffic children.”,Facebook posts,false
1702,"Actions by Joe Biden left ""10,000 - 15,000 American citizens abandoned to terrorists in Afghanistan.""",Derrick Van Orden,barely-true
1703,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,Instagram posts,false
1704,"""By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.""",Instagram posts,barely-true
1705,Vaccines are why flights have been shut down worldwide.,Facebook posts,false
1706,“Most Americans on minimum wage earn less than a Dickensian allegory for destitution.”,Facebook posts,half-true
1707,"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”",Facebook posts,pants-fire
1708,A video clip shows a failed attempt by China to launch airstrikes near Taiwan.,Facebook posts,pants-fire
1709,“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,Bloggers,pants-fire
1710,“Trump cut Social Security benefits by over $3 billion.”,Congressional Progressive Caucus PAC,false
1711,"The push for high-speed internet for rural areas, from the start, “was a Democratic thing.”",Jon Erpenbach,half-true
1712,“WHO Director-General: The vaccines are being used to kill children.”,Tweets,false
1713,"“More people, aged 18-45, died of Fentanyl overdoses in 2020 than covid, car accidents, cancer, + suicide combined.”",Facebook posts,half-true
1714,Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,Peter McCollough,false
1715,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",Facebook posts,false
1716,Audio clips from ad show Pat McCrory supported Black Lives Matter protesters while condemning ‘Trump supporters’,Club for Growth,barely-true
1717,NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.,Facebook posts,false
1718,"“I represent more, or just as many or more, people than Joe Manchin does.”",Alexandria Ocasio-Cortez,false
1719,People vaccinated for COVID-19 “do not spread the disease to anyone else.”,Joe Biden,barely-true
1720,"Eating grapefruit, “if you're on antidepressants,” can “cause a fatal overdose.”",Facebook posts,false
1721,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",Bloggers,false
1722,"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",Facebook posts,false
1723,“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,Steve Kirsch,pants-fire
1724,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",Facebook posts,false
1725,“Maybe they’re just calling the common cold … the omicron variant.”,Facebook posts,false
1726,"The expanded child tax credit in the Build Back Better Act has “no means testing,” so people making $200,000 and $400,000 would get “the same as someone making” $70,000.",Joe Manchin,barely-true
1727,“Moderna patent uncovers horror nanocensor contained in bioweapon.”,Facebook posts,false
1728,“Obama certificate a fake.”,Bloggers,pants-fire
1729,It’s a myth that autism is genetic.,Viral image,false
1730,"“Dr. Ugur Sahin, CEO of BioNTech and inventor of the BIO N TECH Pfizer jab, refuses to take the jab for safety reasons.”",Facebook posts,false
1731,"“Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”",Lee Zeldin,mostly-true
1732,"“Dying nurse on deathbed claims she swapped more than 5,000 babies for ‘fun.’”",Viral image,pants-fire
1733,“Boy passes Joe Biden a vial of fresh blood to drink on his way back to the White House”,Tweets,pants-fire
1734,“Santa Claus arrested by German police for not wearing a mask.”,Bloggers,false
1735,“McDonald’s puts aborted baby fetuses in their food.”,Facebook posts,false
1736,“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,Viral image,false
1737,Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,Viral image,false
1738,Microsoft and Bill Gates created a 1999 video game called “Omikron.”,Facebook posts,false
1739,Chuck Grassley was “voting to slash Medicare” when voting against the debt ceiling bill.,Abby Finkenauer,half-true
1740,Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,Facebook posts,false
1741,“They've planned this” COVID-19 “pandemic all along!”,Facebook posts,pants-fire
1742,A video from British public broadcaster BBC shows the network was part of a 9/11 conspiracy.,Instagram posts,false
1743,"Rep. Kathy Castor, D-Fla., is a communist",Hillsborough County Republican Executive Committee,pants-fire
1744,“California store owner prices all items at $951 so thieves can be prosecuted.”,Facebook posts,false
1745,“I’ve been against that war in Afghanistan from the very beginning.”,Joe Biden,false
1746,The COVID-19 vaccines cause AIDS.,Facebook posts,pants-fire
1747,"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",Bloggers,false
1748,“The military’s actually been in charge since November 3rd.”,Facebook posts,pants-fire
1749,"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",Glenn Grothman,half-true
1750,“Overdoses in Virginia (are) up 35%.”,John McGuire,mostly-true
1751,“The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.”,Lindsey Graham,false
1752,“Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.”,Facebook posts,false
1753,Says Anthony Fauci “wants Americans to get 4 shots per year.”,Facebook posts,false
1754,“Ivanka Trump is joining the Democrats to run against her dad.”,Facebook posts,pants-fire
1755,"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",Bloggers,false
1756,"“Dr. Oz releases COPD gummies that help quit smoking, detox lungs and stop COPD.”",Facebook posts,false
1757,"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",Ron Johnson,pants-fire
1758,"“Norway spends about $30,000 per child on early childhood care, Finland spends $23,000, Germany $18,000” and the U.S. $500.",Robert Reich,mostly-true
1759,"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",Instagram posts,false
1760,German chemist Andreas Noack was “assassinated just hours after publishing the secret of the vax by government operatives.”,Facebook posts,false
1761,The COVID-19 vaccine is the “deadliest vaccine ever made.”,"Robert F. Kennedy, Jr.",pants-fire
1762,Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,Facebook posts,false
1763,“Hillary replaces Kamala Harris.”,Facebook posts,pants-fire
1764,"""Canada joins the no jab, no food trend""",Facebook posts,barely-true
1765,"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",Bloggers,false
1766,"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",Joe Manchin,half-true
1767,The Build Back Better Act “includes $34.5 billion in cuts” for charity care funding to hospitals.,Rick Scott,half-true
1768,"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",Facebook posts,false
1769,"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",Viral image,false
1770,“An organ recovery medical team pays tribute to a young female organ donor” in this photo.,Viral image,barely-true
1771,"“The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.”",Facebook posts,false
1772,"""Over time there have been 160-some carve-outs to the filibuster.""",Amy Klobuchar,mostly-true
1773,Ghislaine Maxwell’s co-defendants include Beyonce and Kanye West.,Viral image,false
1774,Electric vehicles are more likely to fail in traffic jams.,Facebook posts,false
1775,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",Facebook posts,false
1776,"Gas prices were ""$1.86 when I left"" the White House.",Donald Trump,false
1777,"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",Facebook posts,false
1778,Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,Instagram posts,pants-fire
1779,“There’s only one reporter on site” at the Ghislaine Maxwell trial.,Facebook posts,false
1780,“Trump was secretly inaugurated as president of the restored Republic.”,Facebook posts,pants-fire
1781,Photo shows “a German mall separating the vaccinated and unvaccinated.”,Viral image,false
1782,"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”",Facebook posts,false
1783,"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”",Instagram posts,pants-fire
1784,"“Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”",Joe Biden,mostly-true
1785,"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”",Community Oncology Alliance,half-true
1786,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,Bloggers,false
1787,A video shows people in Romania protesting COVID-19 vaccines.,Viral image,false
1788,Says Boris Johnson faked getting his booster shot.,Viral image,false
1789,Says Prince Harry and Meghan Markle’s baby doesn’t exist.,Facebook posts,false
1790,Image shows Donald Trump’s new Christmas card.,Viral image,pants-fire
1791,"A Canary Islands volcano eruption could lead to a mega tsunami in the U.S., with a 160-foot wave and no warnings.",Facebook posts,false
1792,"""Tap water is testing positive for COVID!”",Tweets,false
1793,"“On the first day of the Ghislaine Maxwell trial, the CEO of Twitter resigned, the CEO of Walmart resigned, the CEO of CNBC resigned”",Facebook posts,barely-true
1794,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,Instagram posts,false
1795,“I used to drive a tractor trailer … I only did it for part of a summer.”,Joe Biden,false
1796,The House-passed Build Back Better bill is a “government takeover of child care.”,Kevin McCarthy,false
1797,"""If you look pre-COVID"" under President Donald Trump, ""we didn't import a single barrel of oil from Saudi Arabia.”",Sean Hannity,false
1798,"""The number of small businesses is up 30% compared to before the pandemic.""",Joe Biden,false
1799,"Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”",The Gateway Pundit,false
1800,“Federal magistrate approves $110 million defamation suit against LeBron James by Kyle Rittenhouse.”,Facebook posts,pants-fire
1801,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,half-true
1802,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,Bloggers,false
1803,"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""",Facebook posts,barely-true
1804,Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy.,Facebook posts,false
1805,“BREAKING: Judge in Ghislaine Maxwell trial issues media-wide gag order: all press & spectators barred from courtroom.”,Facebook posts,false
1806,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.,Tate Reeves,half-true
1807,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",Facebook posts,false
1808,“Kyle Rittenhouse files $400 million suit against CNN!”,Viral image,false
1809,"“If you were in the military before 2002 you get an additional $1,200 a year, ($100 per month) in Social Security. But you have to ask for it and almost no one knows about it.”",Facebook posts,barely-true
1810,Says Virgil Abloh was a defendant in Ghislaine Maxwell’s criminal case when he died a day before the trial started.,Viral image,false
1811,Video shows child shouting an expletive at Jill Biden.,Viral image,pants-fire
1812,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,Bloggers,false
1813,A photo shows Jeffrey Epstein with Joe Biden.,Viral image,false
1814,“Malcolm X’s daughter found dead in NYC days after she exposed NYPD and FBI were behind Malcolm X assassination”,Facebook posts,barely-true
1815,Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. ... I don’t know how to explain this other than vaccine-caused mortality.”,Alex Berenson,barely-true
1816,“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,Viral image,false
1817,"“COVID death rates 4 to 1, vaccinated to unvaxxed”",Bloggers,false
1818,We know in November 2021 that “none of your previous vaccines will protect you now from the emerging variant omicron.”,Facebook posts,false
1819,"“Within two years, there were two 500-year (storm) events” in Wisconsin.",Tammy Baldwin,mostly-true
1820,Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,Facebook posts,pants-fire
1821,The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,Viral image,false
1822,"Says a Vox headline said, “teaching children the Bunny Ear method for tying their shoes” is racist.",Viral image,false
1823,"""U.S. households are on track to spend $19 billion more on energy by 2030.""",Roger Williams,half-true
1824,“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”,Viral image,false
1825,"""Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida.""",Facebook posts,false
1826,“Kyle Rittenhouse files a $60 million lawsuit against Joy Behar and Whoopi Goldberg.”,Viral image,false
1827,Photo shows people recently protesting in Austria.,Viral image,false
1828,"“This one here has subsidies for people making as much as $800,000 to be able to buy a Tesla.”",Chris Jacobs,barely-true
1829,Kyle Rittenhouse was an “armed person” crossing state lines when he came to Kenosha protests in 2020.,Jerrold Nadler,false
1830,“The gas station where they initially attacked” Kyle Rittenhouse “is owned by his grandparents.”,Facebook posts,false
1831,“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”,Instagram posts,false
1832,"""Fauci admits Covid vax doesn't work""",Alex Jones,false
1833,The Build Back Better bill provides “'parole' amnesty for millions of criminal illegal aliens.”,Viral image,barely-true
1834,"The FBI targeted a woman and searched her home because she “protested local school board, elections.”",Bloggers,barely-true
1835,An increase in Medicare Part B premiums means “America’s seniors are paying the price for Biden’s inflation crisis.”,Rick Scott,barely-true
1836,"""You've had over 2 million women drop out of the workforce during this pandemic.""",Colin Allred,mostly-true
1837,"""Spike protein goes to nucleus and impairs DNA repair.""",Bloggers,half-true
1838,“Wisconsin is almost equally divided on partisan lines” and therefore new Legislative maps could be drawn to “represent that 50-50 split.”,Janet Bewley,barely-true
1839,"The media televised the trial of Kyle Rittenhouse “because he is a ‘white supremacist shooter,’” while limiting coverage of accused sex trafficker Ghislaine Maxwell’s trial to “some cartoon drawing….What are they hiding?”",Facebook posts,barely-true
1840,The Vatican owns a telescope called Lucifer.,Facebook posts,false
1841,President Joe Biden will “control health care costs by slapping a 95% tax on prescription drugs.”,Facebook posts,false
1842,"Ashley Hinson’s and Mariannette Miller-Meeks’ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",Dave Loebsack,half-true
1843,“The FBI is using its counterterrorism division to investigate and add ‘threat tags’ to parents who are protesting school boards.”,Facebook posts,barely-true
1844,“If you or your family spends $28 a day — prepare to be under constant audit by the IRS.”,Kevin McCarthy,false
1845,Photos showed “bricks everywhere” in Kenosha during the Kyle Rittenhouse trial.,Facebook posts,false
1846,“German News Agency Tracks 75 Prominent Athletes Suddenly Dead Of Heart Attacks After COVID Vax”,Bloggers,false
1847,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",NYS Department of Corrections and Community Supervision,true
1848,COVID-19 vaccines contain luciferase.,Bloggers,false
1849,A photo shows Kyle Rittenhouse wearing a “Klan outfit.”,Viral image,pants-fire
1850,“Biden’s banking nominee demands all ‘private bank accounts’ be eliminated”,Bloggers,barely-true
1851,“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”,Kevin McCarthy,false
1852,Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab.,Facebook posts,false
1853,“Trump in the White House!”,Facebook posts,pants-fire
1854,The military took over the mainstream media.,Facebook posts,pants-fire
1855,“Military arrests former President George W. Bush.”,Viral image,pants-fire
1856,"“We need filibuster reform, and I’ve always been very clear about that.”",Cheri Beasley,barely-true
1857,"Says Raz Simone “conquered” part of Seattle, handed out guns to form a paramilitary force that murdered three people, robbed the locals and walked away without being questioned.",Facebook posts,barely-true
1858,“No economist out there is projecting that (the Build Back Better bill) will have a negative impact on inflation.”,Jen Psaki,false
1859,Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf.,Facebook posts,false
1860,“NAVY SEALs raid cargo ship full of smuggled children.”,Viral image,pants-fire
1861,"Unleaded gas costs nearly $7 in Lancaster, Calif.",Viral image,false
1862,"""Only one member of Iowa’s federal delegation"" voted in favor of the bipartisan infrastructure legislation.",Progress Iowa,false
1863,"""Only a court can decide that somebody is incompetent to vote"" -- the state Election Commission ""cannot force facilities, private facilities, to allow special voting deputies"" inside.",Meagan Wolfe,mostly-true
1864,Says Kamala Harris said only vaccinated people are hospitalized and dying from COVID-19.,Viral image,pants-fire
1865,"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""",Tweets,false
1866,The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”,TikTok posts,false
1867,“Close to hundreds” of people died at Astroworld.,Viral image,false
1868,"“500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn’t have been a trial.”",Facebook posts,false
1869,A Kansas City tourism sign had a terrible typo.,Facebook posts,false
1870,"A new Facebook/Meta rule allows the company to use people’s photos without their permission, and posting a notice on your page will stop it from doing so.",Facebook posts,pants-fire
1871,"Timothy Simpkins, a Black teen shooter, got 1 day in jail and $75,000 bail, while Kyle Rittenhouse, a white teen, got 2 months in jail and $2 million bail. “I think it’s pretty evident ... that white privilege is a myth.”",Viral image,half-true
1872,“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,Bloggers,false
1873,"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""",Facebook posts,false
1874,Actor Macaulay Culkin died from a heroin overdose.,TikTok posts,pants-fire
1875,"""In 2015, when Terry McAuliffe was governor, the Virginia Department of Education promoted incorporating critical race theory lens in education...They were trying to indoctrinate kids.”",Rick Scott,barely-true
1876,“Stalin once ripped all the feathers off a live chicken as a lesson to his followers.”,Facebook posts,false
1877,Kyle Rittenhouse’s mother “drove him across state lines and dropped him off in the middle of a riot armed with an assault rifle” in Kenosha.,Viral image,false
1878,"""Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.""",Viral image,pants-fire
1879,"Over a million people apprehended at the border this year, ""meaning probably another 2 or 3 million have come in illegally.""",Dan Patrick,half-true
1880,“Wife of Pfizer’s CEO dies after complications from the vaccine.”,Conservative Beaver,pants-fire
1881,Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane.,Facebook posts,false
1882,“The infrastructure bill itself is only 10% true infrastructure.”,Bob Good,pants-fire
1883,Scam artists are using Amazon to send people face masks laced with “something toxic.”,Facebook posts,false
1884,"“Iowa ranks 45th in the U.S. for internet connectivity.""",Cindy Axne,true
1885,"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.",Bloggers,false
1886,"Says President Joe Biden “is in talks to pay illegal immigrants $450,000.”",Bryan Steil,half-true
1887,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",Facebook posts,false
1888,“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”,Joe Biden,false
1889,"""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.""",Dennis Prager,pants-fire
1890,"""There is no added safety to the public if you're vaccinated.""",Viral image,pants-fire
1891,The military arrested “bedridden Gavin Newsom.”,Bloggers,pants-fire
1892,"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""",Gwen Moore,mostly-true
1893,“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”,Steve Kirsch,false
1894,"""Italy drastically reduced the country’s official COV1D-19 death count by over 97%. This means Covid killed fewer people than an average seasonal flu.”",Facebook posts,false
1895,“Sending your child to school” on a day when vaccines are being administered “is implied consent” for getting the COVID-19 vaccine.,Infowars,false
1896,"Live Nation scheduled the 50,000-person Astroworld music festival at a venue that has a capacity of 20,000.",Facebook posts,false
1897,"""Arizona Department of Education gives green light on face mask and vaccine mandates, as well as implementing Critical (Race) Theory.”",Instagram posts,barely-true
1898,Photos show “diesel generators” at the COP26 climate change conference.,Tweets,false
1899,"The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”",Ron Klain,half-true
1900,"A banner for COVID-19 vaccines says, “Don’t forget to donate your childrens organs.”",Viral image,false
1901,“Queen Elizabeth d-e-a-d at age 95.”,Facebook posts,false
1902,President Joe Biden threatened to “swoop down with Special Forces folks and gather up every gun in America.”,Facebook posts,false
1903,“More fraud in New Jersey’s election uncovered – voting machines would not allow citizens to vote for Republican governor candidate.”,Bloggers,barely-true
1904,A crime was committed when a New Jersey election worker allowed someone who said he was not a citizen to fill out a ballot.,Project Veritas,false
1905,Merriam-Webster recently changed its definition of the word “vaccine” and removed the immunity portion.,Facebook posts,barely-true
1906,“FUN FACT: West Virginia is home to zero billionaires.”,David Gura,true
1907,The deaths at the Astroworld festival were part of a satanic ritual.,Facebook posts,pants-fire
1908,“Australian military being trained to **force vaccinate** in door-to-door attacks.”,Bloggers,false
1909,The Biden Department of Justice “would use the FBI to target parents who speak out against critical race theory.”,Rebecca Kleefisch,false
1910,"In the infrastructure bill that just passed the House, “only 10% is actual infrastructure.”",Lisa McClain,pants-fire
1911,“Fox News went from 97% reporting to 94% in Virginia. The fraud is so blatant it's not funny anymore.”,Tweets,false
1912,"""Atheists are prohibited from holding office in 8 states.”",Facebook posts,half-true
1913,"“Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated""",Bloggers,false
1914,"""This idea that it's the pandemic of the unvaccinated, it's just a total lie.""",Aaron Rodgers,false
1915,Says N.C. Attorney General Josh Stein has gone after Jan. 6 protesters but he has “said nothing” about violent summer protests in North Carolina and was “derelict in his duty.”,Mark Robinson,barely-true
1916,"The Astroworld concert was a “test run on the vaxxed” because people who are injected with graphene oxide can be controlled through magnetic frequencies, including music.",Facebook posts,false
1917,"United Kingdom “government reports suggest the fully vaccinated are rapidly developing Acquired Immunodeficiency Syndrome.""",Bloggers,false
1918,"“CEO of Pfizer arrested, charged with fraud.”",Bloggers,pants-fire
1919,"Dr. Herbert Smitherman invented Crest toothpaste, Folgers coffee, Safeguard soap and Bounce fabric softener.",Facebook posts,false
1920,Bergen County in New Jersey gave more votes to the Democratic gubernatorial candidate after all the ballots were counted.,Viral image,false
1921,"“The Spanish High Court has announced (COVID-19) is a bio weapon with a patent, not a virus.”",Facebook posts,false
1922,“Scientists say this map represents the US in 30 years if we don’t reverse climate change.”,Facebook posts,false
1923,“Trash bins discovered outside the Gloucester County Board of Elections containing blank ballots as well as bags of shredded ballots from Tuesday’s election!”,Facebook posts,false
1924,"“The day Al Gore was born there were 130,000 glaciers on Earth. Today, only 130,000 remain.”",Viral image,false
1925,"""Elon Musk to donate $250 billion for reparations to African Americans in U.S.""",Instagram posts,pants-fire
1926,A video shows “your packages were rerouted and have arrived in the port of Miami” as a result of Gov. Ron DeSantis.,Instagram posts,barely-true
1927,The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”,Facebook posts,false
1928,Product shortages are manufactured; goods are stuck in warehouses.,TikTok posts,pants-fire
1929,"“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”",Facebook posts,false
1930,"Federal agents directly incited people on Jan. 6, 2021, and ""intentionally entrapped"" American citizens.",Tucker Carlson,false
1931,Social media posts suggest a CDC graph shows the COVID-19 vaccine is harmful to children and that California’s school vaccine mandate is dangerous.,Facebook posts,barely-true
1932,President Joe Biden changed suits during his visit to the Vatican.,Viral image,pants-fire
1933,“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”,Viral image,false
1934,“There are over 1 million phantom voters on the Florida voter rolls.”,Roger Stone,pants-fire
1935,"A photo taken on Jan. 6, 2021, at the United States Capitol riot was “doctored to look as if the Capitol was on fire.”",Jack Posobiec,false
1936,"“States run elections, not the federal government.”",Wisconsin Senate Republicans,barely-true
1937,“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”,Steven Koonin,barely-true
1938,"“Wages have gone up higher, faster than inflation.”",Joe Biden,barely-true
1939,"“Jan. 6 is being used as a pretext to strip millions of Americans, disfavored Americans, of their core constitutional rights.”",Tucker Carlson,pants-fire
1940,“DEA agent Mark Ibrahim was forced from his job and later indicted simply because he was near the Capitol protest on Jan. 6.”,Tucker Carlson,false
1941,In-N-Out cups say “Let’s go Brandon.”,Viral image,false
1942,“Violent crime rate dropped like a rock following West Virginia’s adoption of permitless carry.”,Facebook posts,barely-true
1943,“Virginia man arrested for having Minecraft worlds that were exact replicas of classified U.S. military bases.”,Facebook posts,pants-fire
1944,"""The 550 U.S. billionaires together are worth $2.5 trillion. If we confiscated 100% of their wealth, we'd raise enough to run the federal government for less than eight months.""",Viral image,mostly-true
1945,"Children who receive COVID-19 vaccinations ""will be walking factories of spike proteins"" that will ""undoubtedly cause illnesses to spread like wildfire in schools.""",Instagram posts,false
1946,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Kelda Helen Roys,true
1947,"""National Guard to fill in for cops who refuse to get vaccinated.""",Instagram posts,false
1948,“Fairfax County is not requiring the last four digits of Social Security Numbers on absentee ballots in this election.”,The Gateway Pundit,barely-true
1949,“Virginia Democrat operatives” and Terry McAuliffe campaign staffers posed as white supremacists and stood by Republican Glenn Youngkin’s bus.,Facebook posts,false
1950,“The Biden administration wants to create an international oversight committee” to alter or cancel Second Amendment rights.,TikTok posts,false
1951,"“Unmask your kids! Any carbon dioxide concentrations above” 2,000 parts per million are “dangerous!”",Facebook posts,false
1952,"The migrant caravan from Tapachula, Mexico “is the population of Minneapolis.”",Mary Miller,pants-fire
1953,Blood “starts to clot in a minute or two” after a Pfizer COVID-19 vaccine injection.,Instagram posts,false
1954,“Japan drops vax rollout”,Hal Turner Radio Show,pants-fire
1955,Virginia voters are being turned away from polling locations because they were told they already requested absentee ballots when they haven’t.,Facebook posts,barely-true
1956,In-N-Out cups say “F--- Joe Biden.”,Viral image,false
